Date,Current (Amp),OEE (%),Idle,Running,Off,Part Count,Part Produced,Part Rejected,Total_energy (KwH),Production Cost,Operator Name,Part Name,Shift,Machine Status,Maintenance Flag
2024-05-01,14.5,81.2,3,19,2,140,137,3,122.5,1225.00,Mike Johnson,Widget X,Day,Running,0
2024-05-02,15.1,83.7,2,20,2,145,142,3,127.1,1271.00,Sarah Davis,Widget Y,Night,Running,0
2024-05-03,13.8,79.5,4,18,2,135,131,4,115.8,1158.00,Tom Wilson,Widget Z,Day,Running,1
2024-05-04,14.9,85.1,2,21,1,150,147,3,125.9,1259.00,Lisa Brown,Widget X,Day,Running,0
2024-05-05,15.3,87.4,1,22,1,155,153,2,129.3,1293.00,Mike Johnson,Widget Y,Night,Running,0
2024-05-06,14.2,76.8,5,17,2,130,125,5,119.2,1192.00,Sarah Davis,Widget Z,Day,Running,1
2024-05-07,15.7,88.9,1,21,2,158,156,2,132.7,1327.00,Tom Wilson,Widget X,Night,Running,0
2024-05-08,14.6,82.3,3,19,2,142,139,3,123.6,1236.00,Lisa Brown,Widget Y,Day,Running,0
2024-05-09,15.0,84.6,2,20,2,147,144,3,126.0,1260.00,Mike Johnson,Widget Z,Night,Running,0
2024-05-10,13.9,80.1,4,18,2,138,134,4,117.9,1179.00,Sarah Davis,Widget X,Day,Running,0
2024-05-11,14.8,86.2,2,21,1,152,149,3,124.8,1248.00,Tom Wilson,Widget Y,Day,Running,0
2024-05-12,15.4,89.5,1,22,1,159,157,2,130.4,1304.00,Lisa Brown,Widget Z,Night,Running,0
2024-05-13,14.1,78.3,4,18,2,133,129,4,118.1,1181.00,Mike Johnson,Widget X,Day,Running,1
2024-05-14,15.6,87.7,1,21,2,156,154,2,131.6,1316.00,Sarah Davis,Widget Y,Night,Running,0
2024-05-15,14.7,83.9,3,19,2,144,141,3,124.7,1247.00,Tom Wilson,Widget Z,Day,Running,0
2024-05-16,15.2,85.8,2,20,2,149,146,3,128.2,1282.00,Lisa Brown,Widget X,Day,Running,0
2024-05-17,13.6,77.2,5,17,2,127,122,5,113.6,1136.00,Mike Johnson,Widget Y,Night,Running,1
2024-05-18,14.9,88.1,1,21,2,157,155,2,125.9,1259.00,Sarah Davis,Widget Z,Day,Running,0
2024-05-19,15.5,84.4,2,20,2,146,143,3,130.5,1305.00,Tom Wilson,Widget X,Night,Running,0
2024-05-20,14.3,81.7,3,19,2,141,138,3,120.3,1203.00,Lisa Brown,Widget Y,Day,Running,0
2024-05-21,15.1,86.9,2,21,1,153,150,3,127.1,1271.00,Mike Johnson,Widget Z,Day,Running,0
2024-05-22,14.0,79.6,4,18,2,136,132,4,118.0,1180.00,Sarah Davis,Widget X,Night,Running,0
2024-05-23,15.8,89.3,1,22,1,160,158,2,133.8,1338.00,Tom Wilson,Widget Y,Day,Running,0
2024-05-24,14.4,82.8,3,19,2,143,140,3,121.4,1214.00,Lisa Brown,Widget Z,Night,Running,0
2024-05-25,15.3,87.2,1,21,2,154,152,2,129.3,1293.00,Mike Johnson,Widget X,Day,Running,0
2024-05-26,13.7,76.5,5,17,2,128,123,5,114.7,1147.00,Sarah Davis,Widget Y,Day,Running,1
2024-05-27,14.8,85.6,2,20,2,148,145,3,124.8,1248.00,Tom Wilson,Widget Z,Night,Running,0
2024-05-28,15.6,88.4,1,21,2,157,155,2,131.6,1316.00,Lisa Brown,Widget X,Day,Running,0
2024-05-29,14.2,80.9,3,19,2,139,136,3,119.2,1192.00,Mike Johnson,Widget Y,Night,Running,0
2024-05-30,15.0,84.1,2,20,2,145,142,3,126.0,1260.00,Sarah Davis,Widget Z,Day,Running,0
2024-05-31,14.5,83.5,3,19,2,142,139,3,122.5,1225.00,Tom Wilson,Widget X,Day,Running,0
