Date,Current (Amp),OEE (%),Idle,Running,Off,Part Count,Part Produced,Part Rejected,Total_energy (KwH),Production Cost,Operator Name,Part Name,Shift,Machine Status,Maintenance Flag
2024-05-01,18.2,88.5,2,21,1,165,162,3,155.2,1552.00,Carlos Rodriguez,Part Alpha,Day,Running,0
2024-05-02,17.8,90.1,1,22,1,170,168,2,158.8,1588.00,Emma Wilson,Part Beta,Night,Running,0
2024-05-03,19.1,85.3,3,20,1,160,157,3,172.1,1721.00,David Lee,Part Gamma,Day,Running,0
2024-05-04,18.5,92.7,0,23,1,175,174,1,165.5,1655.00,Rachel Green,Part Alpha,Day,Running,0
2024-05-05,17.2,82.8,4,19,1,155,151,4,148.2,1482.00,Carlos Rodriguez,Part Beta,Night,Running,1
2024-05-06,18.8,91.2,1,22,1,172,170,2,168.8,1688.00,Emma Wilson,Part Gamma,Day,Running,0
2024-05-07,19.5,87.4,2,21,1,167,164,3,175.5,1755.00,David Lee,Part Alpha,Night,Running,0
2024-05-08,18.1,93.1,0,23,1,178,177,1,161.1,1611.00,Rachel Green,Part Beta,Day,Running,0
2024-05-09,17.7,84.9,3,20,1,162,159,3,157.7,1577.00,Carlos Rodriguez,Part Gamma,Night,Running,0
2024-05-10,18.9,89.6,2,21,1,169,166,3,169.9,1699.00,Emma Wilson,Part Alpha,Day,Running,0
2024-05-11,19.2,86.1,3,20,1,158,155,3,172.2,1722.00,David Lee,Part Beta,Day,Running,1
2024-05-12,18.4,90.8,1,22,1,173,171,2,164.4,1644.00,Rachel Green,Part Gamma,Night,Running,0
2024-05-13,17.9,94.3,0,23,1,180,179,1,159.9,1599.00,Carlos Rodriguez,Part Alpha,Day,Running,0
2024-05-14,18.7,88.2,2,21,1,166,163,3,167.7,1677.00,Emma Wilson,Part Beta,Night,Running,0
2024-05-15,19.0,91.5,1,22,1,174,172,2,170.0,1700.00,David Lee,Part Gamma,Day,Running,0
2024-05-16,18.3,89.9,1,22,1,171,169,2,163.3,1633.00,Rachel Green,Part Alpha,Day,Running,0
2024-05-17,17.6,83.7,4,19,1,157,153,4,156.6,1566.00,Carlos Rodriguez,Part Beta,Night,Running,0
2024-05-18,18.8,92.4,1,22,1,176,174,2,168.8,1688.00,Emma Wilson,Part Gamma,Day,Running,0
2024-05-19,19.3,87.8,2,21,1,168,165,3,173.3,1733.00,David Lee,Part Alpha,Night,Running,0
2024-05-20,18.5,93.6,0,23,1,181,180,1,165.5,1655.00,Rachel Green,Part Beta,Day,Running,0
2024-05-21,17.8,85.4,3,20,1,161,158,3,158.8,1588.00,Carlos Rodriguez,Part Gamma,Day,Running,1
2024-05-22,18.9,90.2,1,22,1,172,170,2,169.9,1699.00,Emma Wilson,Part Alpha,Night,Running,0
2024-05-23,19.1,91.8,1,22,1,175,173,2,171.1,1711.00,David Lee,Part Beta,Day,Running,0
2024-05-24,18.2,86.5,3,20,1,163,160,3,162.2,1622.00,Rachel Green,Part Gamma,Night,Running,0
2024-05-25,17.9,92.9,0,23,1,177,176,1,159.9,1599.00,Carlos Rodriguez,Part Alpha,Day,Running,0
2024-05-26,18.6,88.7,2,21,1,167,164,3,166.6,1666.00,Emma Wilson,Part Beta,Day,Running,0
2024-05-27,19.4,89.1,2,21,1,170,167,3,174.4,1744.00,David Lee,Part Gamma,Night,Running,0
2024-05-28,18.1,91.3,1,22,1,173,171,2,161.1,1611.00,Rachel Green,Part Alpha,Day,Running,0
2024-05-29,17.7,84.2,4,19,1,159,155,4,157.7,1577.00,Carlos Rodriguez,Part Beta,Night,Running,1
2024-05-30,18.8,93.7,0,23,1,179,178,1,168.8,1688.00,Emma Wilson,Part Gamma,Day,Running,0
2024-05-31,19.0,87.9,2,21,1,168,165,3,170.0,1700.00,David Lee,Part Alpha,Day,Running,0
