Date,Current (Amp),OEE (%),Idle,Running,Off,Part Count,Part Produced,Part Rejected,Total_energy (KwH),Production Cost,Operator Name,Part Name,Shift,Machine Status,Maintenance Flag
2024-05-01,15.2,85.5,2,20,2,150,148,2,125.5,1250.00,John Doe,Widget A,Day,Running,0
2024-05-02,14.8,87.2,1,21,2,155,152,3,128.2,1280.00,Jane Smith,Widget A,Night,Off,0
2024-05-03,16.1,82.1,3,19,2,145,142,3,132.1,1320.00,Bob Wilson,Widget B,Day,Running,0
2024-05-04,15.5,89.3,1,22,1,160,158,2,140.5,1405.00,Alice Brown,Widget A,Day,Running,0
2024-05-05,14.2,78.5,4,18,2,135,132,3,118.2,1180.00,John Doe,Widget C,Night,Running,1
2024-05-06,15.8,91.2,0,23,1,165,164,1,145.8,1458.00,Jane Smith,Widget A,Day,Running,0
2024-05-07,16.5,85.7,2,20,2,150,147,3,138.5,1385.00,Bob Wilson,Widget B,Night,Running,0
2024-05-08,15.1,88.4,1,21,2,158,156,2,135.1,1351.00,Alice Brown,Widget A,Day,Service,0
2024-05-09,14.7,83.9,3,19,2,142,139,3,128.7,1287.00,John Doe,Widget C,Night,Running,0
2024-05-10,15.9,90.1,1,22,1,162,161,1,142.9,1429.00,Jane Smith,Widget A,Day,Running,0
2024-05-11,16.2,79.8,4,18,2,138,134,4,135.2,1352.00,Bob Wilson,Widget B,Day,Running,1
2024-05-12,15.4,86.5,2,20,2,152,149,3,140.4,1404.00,Alice Brown,Widget A,Night,Running,0
2024-05-13,14.9,92.3,0,23,1,168,167,1,148.9,1489.00,John Doe,Widget C,Day,Running,0
2024-05-14,15.7,84.2,3,19,2,144,141,3,132.7,1327.00,Jane Smith,Widget A,Night,Breakdown,0
2024-05-15,16.0,87.6,2,21,1,156,153,3,144.0,1440.00,Bob Wilson,Widget B,Day,Running,0
2024-05-16,15.3,89.8,1,22,1,161,159,2,139.3,1393.00,Alice Brown,Widget A,Day,Running,0
2024-05-17,14.6,81.5,3,19,2,140,137,3,126.6,1266.00,John Doe,Widget C,Night,Running,0
2024-05-18,15.8,88.9,1,21,2,157,155,2,142.8,1428.00,Jane Smith,Widget A,Day,Running,0
2024-05-19,16.3,85.1,2,20,2,148,145,3,137.3,1373.00,Bob Wilson,Widget B,Night,Off,0
2024-05-20,15.5,91.7,0,23,1,166,165,1,145.5,1455.00,Alice Brown,Widget A,Day,Running,0
2024-05-21,14.8,83.4,3,19,2,143,140,3,130.8,1308.00,John Doe,Widget C,Day,Running,1
2024-05-22,15.9,87.1,2,21,1,154,151,3,141.9,1419.00,Jane Smith,Widget A,Night,Off,0
2024-05-23,16.1,89.5,1,22,1,159,157,2,143.1,1431.00,Bob Wilson,Widget B,Day,Service,0
2024-05-24,15.2,82.7,3,19,2,141,138,3,133.2,1332.00,Alice Brown,Widget A,Night,Running,0
2024-05-25,14.9,90.4,1,22,1,163,161,2,138.9,1389.00,John Doe,Widget C,Day,Running,0
2024-05-26,15.6,86.8,2,20,2,151,148,3,139.6,1396.00,Jane Smith,Widget A,Day,Running,0
2024-05-27,16.4,84.9,2,20,2,147,144,3,142.4,1424.00,Bob Wilson,Widget B,Night,Running,0
2024-05-28,15.1,88.7,1,21,2,156,154,2,137.1,1371.00,Alice Brown,Widget A,Day,Running,0
2024-05-29,14.7,81.2,4,18,2,139,135,4,129.7,1297.00,John Doe,Widget C,Night,Running,1
2024-05-30,15.8,92.1,0,23,1,167,166,1,147.8,1478.00,Jane Smith,Widget A,Day,Running,0
2024-05-31,16.0,87.3,2,21,1,155,152,3,144.0,1440.00,Bob Wilson,Widget B,Day,Running,0
